case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
MethodNowStaticTest_private_method_now_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
ExecutableParameterGenericsChangedTest_concrete_to_lower_bounded_wildcard_final;false;false;;false;false;true;true;;false;false;true;true;;false;true;true;false;type parameter of method parameter changed
MethodNoLongerStaticTest_method_no_longer_static;true;true;Compiler: compiler.err.non-static.cant.be.refLinker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expected static method 'void MethodNoLongerStaticTest_method_no_longer_static.A.m()';true;true;true;true;METHOD_NO_LONGER_STATIC;true;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_STATIC};true;true;true;true;method no longer static
TypeRemovedTest_class_inner_static_public_in_class_public_removed;true;true;Compiler: compiler.err.cant.resolve.locationLinker: Exception in thread "main" java.lang.NoClassDefFoundError: TypeRemovedTest_class_inner_static_public_in_class_public_removed/A$I;true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};true;true;true;true;class removed, class added
ImplicitObjectTest_abstract_object_methods_added_to_abstract_class;false;true;Compiler: compiler.err.does.not.override.abstract;false;false;true;false;;false;true;true;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=METHOD_ABSTRACT_ADDED_TO_CLASS}, JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=METHOD_ABSTRACT_ADDED_TO_CLASS}, JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=METHOD_ABSTRACT_ADDED_TO_CLASS};true;true;false;true;Method now abstract, inherited method moved to class, Method now abstract, inherited method moved to class, removed annotation, Method now abstract, inherited method moved to class
FieldTypeChangedTest_reference_subtype_final_binary_only;true;false;Linker: Exception in thread "main" java.lang.NoSuchFieldError: Class FieldTypeChangedTest_reference_subtype_final_binary_only.A does not have member field 'java.io.InputStream f';true;false;true;true;FIELD_TYPE_ERASURE_CHANGED;true;true;true;false;JApiCompatibilityChange{type=FIELD_TYPE_CHANGED};true;true;true;false;field type changed
ClassNowCheckedExceptionTest_checked_exception_becomes_specific;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=SUPERCLASS_ADDED};true;true;false;false;new super class of non-final class
ExecutableNoLongerThrowsCheckedExceptionTest_method_no_longer_throws_all_of_multiple;false;true;Compiler: compiler.err.except.never.thrown.in.try, compiler.err.except.never.thrown.in.try;false;true;true;true;EXECUTABLE_NO_LONGER_THROWS_CHECKED_EXCEPTION, EXECUTABLE_NO_LONGER_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method no longer throws checked exceptions, Method no longer throws checked exceptions
ClassNoLongerConcretelyExtensibleTest_making_package_private_method_abstract_in_concretizable_class;false;true;Compiler: compiler.err.does.not.override.abstract;true;true;false;true;CLASS_NO_LONGER_CONCRETELY_EXTENSIBLE;true;true;false;true;JApiCompatibilityChange{type=METHOD_NOW_ABSTRACT};false;false;true;false;
ExecutableParameterGenericsChangedTest_generic_method_wildcard_added_final;false;false;;false;false;true;true;;false;false;true;true;;false;true;true;false;type parameter of method parameter changed
ClassNowStaticTest_nested_annotation_now_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
AnnotationTargetRemovedTest_empty_annotation_target_incompatible;false;true;Compiler: compiler.err.annotation.type.not.applicable;false;true;true;true;ANNOTATION_TARGET_REMOVED;false;false;true;false;JApiCompatibilityChange{type=ANNOTATION_MODIFIED};false;false;true;false;annotation attribute changed
ClassNowCheckedExceptionTest_class_becomes_runtime_exception;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=SUPERCLASS_ADDED}, JApiCompatibilityChange{type=INTERFACE_ADDED};true;true;false;false;final method added to non-final class, method added, method added, method added, method added, method added, final method added to non-final class, method added, method added, method added, method added, method added, new super class of non-final class
MethodNowAbstractTest_super_concrete_method_becomes_abstract_implicit;true;true;Compiler: compiler.err.does.not.override.abstractLinker: Exception in thread "main" java.lang.AbstractMethodError: Receiver class client.MethodNowAbstractTest_super_concrete_method_becomes_abstract_implicit.Main$1 does not define or inherit an implementation of the resolved method 'abstract void m()' of abstract class MethodNowAbstractTest_super_concrete_method_becomes_abstract_implicit.B.;true;true;true;true;METHOD_NOW_ABSTRACT;false;true;false;true;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=METHOD_ABSTRACT_ADDED_TO_CLASS};true;true;true;true;Method now abstract, inherited method moved to class
ExecutableNowThrowsCheckedExceptionTest_method_now_throws_subtype;false;true;Compiler: compiler.err.override.meth.doesnt.throw;false;true;true;true;EXECUTABLE_NO_LONGER_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION}, JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions, Method no longer throws checked exceptions
ExecutableRemovedTest_overloaded_method_removed;true;true;Compiler: compiler.err.cant.apply.symbolLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void ExecutableRemovedTest_overloaded_method_removed.A.m1(int)';true;true;true;true;EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=METHOD_REMOVED};true;true;true;true;method removed
AnnotationTargetRemovedTest_annotation_target_added;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=ANNOTATION_MODIFIED};false;false;true;true;annotation attribute changed
FormalTypeParameterRemovedTest_class_second_param_removed;false;true;Compiler: compiler.err.wrong.number.type.args;false;true;true;true;FORMAL_TYPE_PARAMETER_REMOVED;false;true;true;true;JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED};false;true;true;true;formal type parameter removed
TypeRemovedTest_class_inner_private_in_class_public_removed;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};false;false;true;true;
MethodNowAbstractTest_default_now_abstract;true;true;Compiler: compiler.err.does.not.override.abstract, compiler.err.cant.resolve.argsLinker: Exception in thread "main" java.lang.AbstractMethodError: Receiver class client.MethodNowAbstractTest_default_now_abstract.Main$1 does not define or inherit an implementation of the resolved method 'abstract void m()' of interface MethodNowAbstractTest_default_now_abstract.I.;true;true;true;true;METHOD_NOW_ABSTRACT;true;true;true;true;JApiCompatibilityChange{type=METHOD_NOW_ABSTRACT};true;true;true;true;method no longer default, Method now abstract
FieldTypeChangedTest_type_formal_type_parameter_renamed_nested_field_type_no_break;false;false;;false;false;true;true;;false;true;true;false;JApiCompatibilityChange{type=FIELD_GENERICS_CHANGED}, JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED};false;false;true;true;
ClassNoLongerStaticTest_nested_interface_no_longer_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
ExecutableNowThrowsCheckedExceptionTest_interface_default_method_now_throws;false;true;Compiler: compiler.err.unreported.exception.need.to.catch.or.throw;false;true;true;true;EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions
MethodNowStaticTest_sealed_interface_method_now_static;true;true;Compiler: compiler.err.illegal.static.intf.meth.callLinker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expected instance not static method 'void MethodNowStaticTest_sealed_interface_method_now_static.I.m()';true;true;true;true;METHOD_NOW_STATIC, METHOD_OVERRIDABLE_NOW_STATIC;true;true;true;true;JApiCompatibilityChange{type=METHOD_NON_STATIC_IN_INTERFACE_NOW_STATIC};true;true;true;true;method now static, method no longer default
TypeRemovedTest_class_now_package_private;true;true;Compiler: compiler.err.cant.resolve.locationLinker: Exception in thread "main" java.lang.IllegalAccessError: failed to access class TypeRemovedTest_class_now_package_private.A from class client.TypeRemovedTest_class_now_package_private.Main (TypeRemovedTest_class_now_package_private.A and client.TypeRemovedTest_class_now_package_private.Main are in unnamed module of loader 'app');true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_LESS_ACCESSIBLE}, JApiCompatibilityChange{type=CLASS_NO_LONGER_PUBLIC}, JApiCompatibilityChange{type=CLASS_LESS_ACCESSIBLE};true;true;true;true;class removed
ExecutableParameterGenericsChangedTest_concrete_to_unbounded_wildcard;false;true;Compiler: compiler.err.name.clash.same.erasure.no.override, compiler.err.method.does.not.override.superclass;false;true;true;true;EXECUTABLE_PARAMETER_GENERICS_CHANGED;false;false;true;false;;false;true;true;true;type parameter of method parameter changed
MethodNoLongerStaticTest_private_method_no_longer_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
ClassNowCheckedExceptionTest_class_becomes_error;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=SUPERCLASS_ADDED}, JApiCompatibilityChange{type=INTERFACE_ADDED};true;true;false;false;final method added to non-final class, method added, method added, method added, method added, method added, final method added to non-final class, method added, method added, method added, method added, method added, new super class of non-final class
ExecutableParameterGenericsChangedTest_generic_method_wildcard_removed;false;true;Compiler: compiler.err.prob.found.req;false;true;true;true;EXECUTABLE_PARAMETER_GENERICS_CHANGED;false;false;true;false;;false;true;true;true;type parameter of method parameter changed
MethodNoLongerVarargsTest_constructor_no_longer_varargs_last;true;true;Compiler: compiler.err.cant.apply.symbolLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void MethodNoLongerVarargsTest_constructor_no_longer_varargs_last.A.<init>(java.lang.Object, int[])';true;true;true;true;EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};true;true;true;true;parameter type changed
ImplicitObjectTest_class_no_longer_object;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
FieldTypeChangedTest_reference_subtype_non_final_binary_and_source;true;true;Compiler: compiler.err.prob.found.reqLinker: Exception in thread "main" java.lang.NoSuchFieldError: Class FieldTypeChangedTest_reference_subtype_non_final_binary_and_source.A does not have member field 'java.io.InputStream f';true;true;true;true;FIELD_TYPE_ERASURE_CHANGED, FIELD_TYPE_CHANGED_INCOMPATIBLE;true;true;true;true;JApiCompatibilityChange{type=FIELD_TYPE_CHANGED};true;true;true;true;field type changed
MethodNowFinalTest_method_now_final;true;true;Compiler: compiler.err.override.methLinker: Exception in thread "main" java.lang.IncompatibleClassChangeError: class client.MethodNowFinalTest_method_now_final.Main$1 overrides final method MethodNowFinalTest_method_now_final.A.m()V;true;true;true;true;METHOD_NOW_FINAL;true;true;true;true;JApiCompatibilityChange{type=METHOD_NOW_FINAL};true;true;true;true;method now final
ClassNowCheckedExceptionTest_class_becomes_specific_checked_exception;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=SUPERCLASS_ADDED}, JApiCompatibilityChange{type=INTERFACE_ADDED};true;true;false;false;final method added to non-final class, method added, method added, method added, method added, method added, final method added to non-final class, method added, method added, method added, method added, method added, new super class of non-final class
ClassNoLongerConcretelyExtensibleTest_abstract_method_no_longer_overridden;false;true;Compiler: compiler.err.does.not.override.abstract, compiler.err.method.does.not.override.superclass;true;true;false;true;CLASS_NO_LONGER_CONCRETELY_EXTENSIBLE, EXECUTABLE_REMOVED;false;false;true;false;;true;true;false;true;method removed
ClassNoLongerConcretelyExtensibleTest_new_abstract_method_in_unconcretizable_class;false;false;;false;false;true;true;;false;true;true;false;JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS}, JApiCompatibilityChange{type=METHOD_ABSTRACT_ADDED_TO_CLASS};true;true;false;false;abstract method added
ExecutableNowThrowsCheckedExceptionTest_method_now_throws_supertype;false;true;Compiler: compiler.err.unreported.exception.need.to.catch.or.throw;false;true;true;true;EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION}, JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions, Method no longer throws checked exceptions
FormalTypeParameterChangedTest_simultaneous_type_and_exec_rename;false;false;;false;false;true;true;;false;true;true;false;JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED}, JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED};false;false;true;true;
FieldTypeChangedTest_type_parameter_bound_refinement_final_no_break;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
TypeRemovedTest_class_inner_protected_in_class_public_removed;true;true;Compiler: compiler.err.cant.resolveLinker: Exception in thread "main" java.lang.NoClassDefFoundError: TypeRemovedTest_class_inner_protected_in_class_public_removed/A$I;true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};true;true;true;true;class removed, class added
MethodNowAbstractTest_default_now_abstract_in_sealed_interface;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=METHOD_NOW_ABSTRACT}, JApiCompatibilityChange{type=METHOD_ADDED_TO_PUBLIC_CLASS};true;true;false;false;method no longer default, Method now abstract, inherited method moved to class
ExecutableNowThrowsCheckedExceptionTest_method_now_throws;false;true;Compiler: compiler.err.unreported.exception.need.to.catch.or.throw;false;true;true;true;EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions
FormalTypeParameterRemovedTest_constructor_all_params_removed_multiple;false;false;;false;false;true;true;;false;true;true;false;JApiCompatibilityChange{type=CLASS_GENERIC_TEMPLATE_CHANGED};false;true;true;false;formal type parameter removed, formal type parameter removed
ClassNoLongerStaticTest_nested_record_no_longer_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
MethodReturnTypeChangedTest_annotation_interface_method_binary_and_source;false;true;Compiler: compiler.err.prob.found.req;true;true;false;true;METHOD_RETURN_TYPE_ERASURE_CHANGED, METHOD_RETURN_TYPE_CHANGED_INCOMPATIBLE;true;true;false;true;JApiCompatibilityChange{type=METHOD_RETURN_TYPE_CHANGED};true;true;false;true;return type changed
TypeRemovedTest_class_private_removed;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};false;false;true;true;
ExecutableParameterGenericsChangedTest_concrete_to_unbounded_wildcard_final;false;false;;false;false;true;true;;false;false;true;true;;false;true;true;false;type parameter of method parameter changed
MethodNoLongerVarargsTest_constructor_no_longer_varargs_first;true;true;Compiler: compiler.err.cant.apply.symbolLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void MethodNoLongerVarargsTest_constructor_no_longer_varargs_first.A.<init>(int[])';true;true;true;true;EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};true;true;true;true;parameter type changed
MethodNowFinalTest_method_now_final_in_effectively_final_class;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=METHOD_NOW_FINAL};true;true;false;false;method now final
FieldTypeChangedTest_reference_supertype_non_final_binary_and_source;true;true;Compiler: compiler.err.prob.found.reqLinker: Exception in thread "main" java.lang.NoSuchFieldError: Class FieldTypeChangedTest_reference_supertype_non_final_binary_and_source.A does not have member field 'java.io.FileInputStream f';true;true;true;true;FIELD_TYPE_ERASURE_CHANGED, FIELD_TYPE_CHANGED_INCOMPATIBLE;true;true;true;true;JApiCompatibilityChange{type=FIELD_TYPE_CHANGED};true;true;true;true;field type changed
MethodNoLongerVarargsTest_constructor_overloaded_varargs;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
ImplicitObjectTest_class_now_object;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
