case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
membersIfazeNestedIfazeDelete;true;true;Compiler: compiler.err.cant.resolve.location, compiler.err.cant.resolve, compiler.err.cant.resolve.locationLinker: Error: Could not find or load main class membersIfazeNestedIfazeDelete.Main;true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};true;true;true;true;class removed
modifierFieldVolatileToNonVolatile;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=FIELD_NO_LONGER_VOLATILE};false;false;true;true;
modifierFieldNonFinalToFinal;true;true;Compiler: compiler.err.cant.assign.val.to.varLinker: 5;true;true;true;true;FIELD_NOW_FINAL;true;true;true;true;JApiCompatibilityChange{type=FIELD_NOW_FINAL};true;true;true;true;field now final
modifierFieldNonVolatileToVolatile;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=FIELD_NOW_VOLATILE};false;false;true;true;
modifierMethodNonStaticToStatic;true;false;Linker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expecting non-static method 'void testing_lib.modifierMethodNonStaticToStatic.ModifierMethodNonStaticToStatic.method1()';true;true;true;false;METHOD_NOW_STATIC, METHOD_OVERRIDABLE_NOW_STATIC;true;true;true;false;JApiCompatibilityChange{type=METHOD_NOW_STATIC};true;false;true;true;method now static
membersIfazeMethodParamAdd;true;true;Compiler: compiler.err.does.not.override.abstract, compiler.err.cant.apply.symbol, compiler.err.method.does.not.override.superclassLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void testing_lib.membersIfazeMethodParamAdd.MembersIfazeMethodParamAdd.method1()';true;true;true;true;TYPE_NEW_ABSTRACT_METHOD, EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=METHOD_REMOVED}, JApiCompatibilityChange{type=METHOD_ADDED_TO_INTERFACE};true;true;true;true;number of parameters changed
modifierClazzFinalToEffectivelyFinal;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class no longer final
modifierMethodNonStrictfpToStrictfp;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
modifierMethodAbstractToNonAbstract;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;Method no longer abstract
modifierFieldNonStaticToStatic;true;false;Linker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expected non-static field testing_lib.modifierFieldNonStaticToStatic.ModifierFieldNonStaticToStatic.field1;true;false;true;true;FIELD_NOW_STATIC;true;true;true;false;JApiCompatibilityChange{type=FIELD_NOW_STATIC};true;false;true;true;field now static
modifierFieldStaticToNonStatic;true;true;Compiler: compiler.err.non-static.cant.be.refLinker: Exception in thread "main" java.lang.IncompatibleClassChangeError: Expected static field testing_lib.modifierFieldStaticToNonStatic.ModifierFieldStaticToNonStatic.field1;true;true;true;true;FIELD_NO_LONGER_STATIC;true;true;true;true;JApiCompatibilityChange{type=FIELD_NO_LONGER_STATIC};true;true;true;true;field no longer static
membersIfazeMethodParamDelete;true;true;Compiler: compiler.err.does.not.override.abstract, compiler.err.cant.apply.symbol, compiler.err.method.does.not.override.superclassLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void testing_lib.membersIfazeMethodParamDelete.MembersIfazeMethodParamDelete.method1(java.lang.Integer)';true;true;true;true;TYPE_NEW_ABSTRACT_METHOD, EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=METHOD_REMOVED}, JApiCompatibilityChange{type=METHOD_ADDED_TO_INTERFACE};true;true;true;true;number of parameters changed
modifierClazzAbstractToNonAbstract;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class no longer abstract
modifierClazzFinalToNonFinal;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class no longer final
modifierFieldNonTransientToTransient;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=FIELD_NOW_TRANSIENT};false;false;true;true;
modifierMethodFinalToNonFinal;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;method no longer final
modifierMethodNonSynchronizedToSynchronized;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
modifierFieldTransientToNonTransient;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=FIELD_NO_LONGER_TRANSIENT};false;false;true;true;
